[20:34:57] [INFO] received Windows console close event; shutting log-core down
[21:04:03] [INFO] received Windows console close event; shutting log-core down
[21:07:24] [INFO] received Windows console close event; shutting log-core down
[21:13:08] [INFO] received Windows console close event; shutting log-core down
[22:07:28] [INFO] received Windows console close event; shutting log-core down
[22:07:59] [INFO] received Windows console close event; shutting log-core down
[22:15:27] [INFO] received Windows console close event; shutting log-core down
[11:18:33] [INFO] received Windows console close event; shutting log-core down
[13:06:07] [INFO] received Windows console close event; shutting log-core down
[13:21:26] [INFO] received Windows console close event; shutting log-core down
[13:21:35] [INFO] received Windows console close event; shutting log-core down
[13:41:24] [INFO] received Windows console close event; shutting log-core down
[14:24:53] [INFO] received Windows console close event; shutting log-core down
[20:26:53] [INFO] received Windows console close event; shutting log-core down
[20:27:54] [INFO] received Windows console close event; shutting log-core down
[21:02:08] [INFO] received Windows console close event; shutting log-core down
[22:51:39] [ERROR] exception 0XC0000094 (INTEGER_DIVIDE_BY_ZERO) from Vectored Exception Handler catched; shutting log-core down
[22:54:30] [INFO] received Windows console close event; shutting log-core down
[22:54:44] [INFO] received Windows console close event; shutting log-core down
[22:55:02] [INFO] received Windows console close event; shutting log-core down
[22:55:16] [INFO] received Windows console close event; shutting log-core down
[22:55:41] [INFO] received Windows console close event; shutting log-core down
[22:56:40] [INFO] received Windows console close event; shutting log-core down
[09:46:38] [INFO] received Windows console close event; shutting log-core down
[10:03:38] [INFO] received Windows console close event; shutting log-core down
[10:04:54] [INFO] received Windows console close event; shutting log-core down
[10:49:59] [INFO] received Windows console close event; shutting log-core down
[11:35:05] [INFO] received Windows console close event; shutting log-core down
[12:44:51] [INFO] received Windows console close event; shutting log-core down
[13:55:56] [INFO] received Windows console close event; shutting log-core down
[13:56:16] [INFO] received Windows console close event; shutting log-core down
[14:13:37] [INFO] received Windows console close event; shutting log-core down
[14:14:29] [INFO] received Windows console close event; shutting log-core down
[14:18:02] [INFO] received Windows console close event; shutting log-core down
[14:27:45] [INFO] received Windows console close event; shutting log-core down
[17:53:52] [INFO] received Windows console close event; shutting log-core down
[17:59:41] [INFO] received Windows console close event; shutting log-core down
[18:02:07] [INFO] received Windows console close event; shutting log-core down
[18:19:00] [INFO] received Windows console close event; shutting log-core down
[20:02:29] [INFO] received Windows console close event; shutting log-core down
[11:13:45] [INFO] received Windows console close event; shutting log-core down
[11:42:53] [INFO] received Windows console close event; shutting log-core down
[11:46:22] [INFO] received Windows console close event; shutting log-core down
[11:47:45] [INFO] received Windows console close event; shutting log-core down
[11:51:10] [INFO] received Windows console close event; shutting log-core down
[13:01:43] [INFO] received Windows console close event; shutting log-core down
[13:04:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:10:19] [INFO] received Windows console close event; shutting log-core down
[13:10:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:46:08] [INFO] received Windows console close event; shutting log-core down
[13:51:14] [INFO] received Windows console close event; shutting log-core down
[13:54:25] [INFO] received Windows console close event; shutting log-core down
[14:01:00] [INFO] received Windows console close event; shutting log-core down
[14:53:20] [INFO] received Windows console close event; shutting log-core down
[22:05:04] [INFO] received Windows console close event; shutting log-core down
[22:28:11] [INFO] received Windows console close event; shutting log-core down
[22:32:24] [INFO] received Windows console close event; shutting log-core down
[22:34:55] [INFO] received Windows console close event; shutting log-core down
[22:35:39] [INFO] received Windows console close event; shutting log-core down
[22:37:23] [INFO] received Windows console close event; shutting log-core down
[22:39:41] [INFO] received Windows console close event; shutting log-core down
[22:43:40] [INFO] received Windows console close event; shutting log-core down
[22:50:53] [INFO] received Windows console close event; shutting log-core down
[22:52:54] [INFO] received Windows console close event; shutting log-core down
[22:58:40] [INFO] received Windows console close event; shutting log-core down
[23:05:23] [INFO] received Windows console close event; shutting log-core down
[23:09:37] [INFO] received Windows console close event; shutting log-core down
[23:11:53] [INFO] received Windows console close event; shutting log-core down
[23:12:39] [INFO] received Windows console close event; shutting log-core down
[23:13:47] [INFO] received Windows console close event; shutting log-core down
[22:21:23] [INFO] received Windows console close event; shutting log-core down
[22:21:38] [INFO] received Windows console close event; shutting log-core down
[22:22:59] [INFO] received Windows console close event; shutting log-core down
[22:38:50] [INFO] received Windows console close event; shutting log-core down
[22:39:32] [INFO] received Windows console close event; shutting log-core down
[22:40:48] [INFO] received Windows console close event; shutting log-core down
[22:50:40] [INFO] received Windows console close event; shutting log-core down
[22:52:26] [INFO] received Windows console close event; shutting log-core down
[22:54:14] [INFO] received Windows console close event; shutting log-core down
[22:55:07] [INFO] received Windows console close event; shutting log-core down
[22:58:44] [INFO] received Windows console close event; shutting log-core down
[23:01:39] [INFO] received Windows console close event; shutting log-core down
[23:02:25] [INFO] received Windows console close event; shutting log-core down
[23:05:07] [INFO] received Windows console close event; shutting log-core down
[23:15:48] [INFO] received Windows console close event; shutting log-core down
[23:18:59] [INFO] received Windows console close event; shutting log-core down
[23:19:38] [INFO] received Windows console close event; shutting log-core down
[18:20:00] [INFO] received Windows console close event; shutting log-core down
[18:20:31] [INFO] received Windows console close event; shutting log-core down
[18:25:59] [INFO] received Windows console close event; shutting log-core down
[18:30:00] [INFO] received Windows console close event; shutting log-core down
[18:30:13] [INFO] received Windows console close event; shutting log-core down
[18:35:42] [INFO] received Windows console close event; shutting log-core down
[18:39:13] [INFO] received Windows console close event; shutting log-core down
[18:40:45] [INFO] received Windows console close event; shutting log-core down
[18:45:54] [INFO] received Windows console close event; shutting log-core down
[18:49:07] [INFO] received Windows console close event; shutting log-core down
[18:49:55] [INFO] received Windows console close event; shutting log-core down
[18:50:04] [INFO] received Windows console close event; shutting log-core down
[18:52:11] [INFO] received Windows console close event; shutting log-core down
[18:55:26] [INFO] received Windows console close event; shutting log-core down
[19:02:04] [INFO] received Windows console close event; shutting log-core down
[19:03:18] [INFO] received Windows console close event; shutting log-core down
[19:07:24] [INFO] received Windows console close event; shutting log-core down
[19:10:11] [INFO] received Windows console close event; shutting log-core down
[19:11:48] [INFO] received Windows console close event; shutting log-core down
[19:14:47] [INFO] received Windows console close event; shutting log-core down
[19:16:05] [INFO] received Windows console close event; shutting log-core down
[19:19:50] [INFO] received Windows console close event; shutting log-core down
[19:23:36] [INFO] received Windows console close event; shutting log-core down
[19:49:04] [INFO] received Windows console close event; shutting log-core down
